AG PO#,SINOBEC PO#,Invoice #,SHIPPING REF,CONTAINER#,STATUS/ETA Port
8070004970,U17140,U3782,17-0794,MSCU5049484,6/23/2017
8070004536,U16517-4,U3780,17-0696,TCNU8071768,6/1/2017
8070004536,U16517-5,U3781,17-0696,HJCU1642815,6/1/2017
8070004498,U16507-2,U3941,17-0783,MSKU8551670,7/8/2017
8070003433,U15336-1,U3894,17-0816,MEDU9500632,7/18/2017
8070003435,U16257-2,U3895,17-0816,GLDU7599709,7/20/2017
8070003434,U16257-1,U3896,17-0816,INKU6684690,7/19/2017
8070004957,U17137,U3893,17-0875,TCNU7636469,7/24/2017
8070003432,U15333-1,U3799,17-0815,MEDU9549355,7/15/2017
8070003431,U16256-2,U3800,17-0815,CAIU8721155,7/15/2017
8070004534,U16513-1,U3892,17-0875,GESU5054160,7/24/2017
8070004974,U17144,U3829,17-1020,SEGU4138234,7/29/2017
8070004498,U16507-3,U3994,17-0998,MSKU9698900,7/15/2017
8070004498,U16507-4,U3995,17-0998,MRKU4541162,7/15/2017
8070003437,U16258-2,U3950,17-1015,CMAU5667367,7/20/2017
8070003436,U16258-1,U3949,17-1015,ECMU8154170,7/20/2017
8070004534,U16513-2,U3891,17-0876,TCLU8951827  ,7/24/2017
8070005098,U16262-2,U3944,17-1088,TCNU6560733,7/24/2017
8070004972,U17146,U3890,17-0876,MOTU1417673,7/24/2017
8070004971,U17141,U3828,17-0883,MRKU5263596,7/29/2017
8070004959,U17147,U3951,17-1154,TCNU9597438,7/27/2017
8070004534,U16513-3,U3954,17-0877,TCNU5310508,7/31/2017
8070004973,U17143,U3955,17-0877,DRYU6052508,7/31/2017
8070003449,U16086-2,U4096,17-0116/1538,MSKU4799457,Repacking
8070004976,U17149,U3976,17-1157,TCNU6641202,8/7/2017
8070003947,U16409-1,U4020,17-1322,NYKU4023750,8/14/2017
8070003438,U16259-1,U3945,17-1016, ECMU8046160,8/5/2017
8070003451,U16260-2,U3948,17-1016,UESU4805871,8/5/2017
8070004534,U16513-4,U4076,17-1200,TCNU7855786,8/14/2017
8070003439,U16259-2,U3946,17-1016,ECMU9615765,8/5/2017
8070003450,U16260-1,U3947,17-1016,FCIU9374444,8/5/2017
8070004530,U16511-2,U3992,17-0981,SEGU6278066,8/5/2017
8070004530,U16511-3,U3993,17-0982,CMAU4916450,8/5/2017
8070004979,U17152,U4077,17-1200,DRYU6047332,8/14/2017
8070003947,U16409-2,U4085,17-1324,NYKU4894186,8/21/2017
8070004980,U17150,U4014,17-1318,TEMU8227320,8/21/2017
8070003947,U16409-3,U4086,17-1324,TEMU8316285,8/21/2017
8070003947,U16409-4,U4087,17-1324,NYKU4961643,8/21/2017
8070003946,U16408-3,U4082,17-0983,ECMU9871026,8/17/2017
8070003452,U16261-1,U4078,17-1265,MEDU8746004,8/24/2017
8070005099,U16263-1,U4006,17-1267,DFSU7256641,8/18/2017
8070004985,U17155,U4083,17-1201,TCNU5694867,8/21/2017
8070004990,U17160,U4084,17-1201,MOTU608103,8/21/2017
8070003453,U16261-2,U4079,17-1265,DFSU7633529,8/24/2017
8070003948,U16410-1,U4117,17-1323,KKFU7683397,8/28/2017
8070004530,U16511-5,U4131,17-1484,TCNU3144265,9/4/2017
8070005150,U17208,U4175,17-1459,HLXU6517965,9/12/2017
8070004534,U16513-5,U4097,17-1202,TCNU6613047,8/28/2017
8070005150,U16410-4,U4179,17-1458,CPSU6428576,9/12/2017
8070003454,U16262-1,U4142,17-1266,MEDU8449140,9/17/2017
8070004535,U16510-3,U4119,17-1323,TCLU8214840,8/28/2017
8070004535,U16510-2,U4116,17-1327,FSCU9896601,8/28/2017
8070004530,U16511-4,U4132,17-1268,TCLU4870603,9/4/2017
8070004537,U16512-3,U4220,17-1525,TCLU8046557,9/18/2017
8070004531,U16506-5,U4191,17-1523,DFSU6095012,9/18/2017
8070004982,U17142,U4146,17-1457,KKFU7445887,8/22/2017
8070004983,U17153,U4163,17-1397,BMOU5189732,9/25/2017
8070004984,U17154,U4015,17-1333,MAGU5767010,8/28/2017
8070004531,U16506-3,U4129,17-1325,TCNU9411435,8/30/2017
8070003946,U16408-5,U4017,17-1285,CLHU8441302,8/26/2017
8070003946,U16408-8,U4021,17-1287,GLDU9739311,8/26/2017
8070004994,U17164,U4134,17-1319,TCNU6917688,9/18/2017
8070004532,U16505-2,U4113,17-1446,BMOU5556993,8/30/2017
8070004996,U17166,U4222,17-1433,TCLU8905992,10/2/2017
8070003946,U16408-6,U4018,17-1285,MSCU7691410,8/26/2017
8070003946,U16408-2,U4081,17-0983,CMAU4576149,8/22/2017
8070005151,U15333-2,U4240,17-1661,INKU6551316,10/14/2017
8070004532,U16505-5,U4241,17-1663,MSCU9496834,10/13/2017
8070004532,U16505-4,U4217,17-1613,TCLU8527491,9/25/2017
8070004531,U16506-4,U4176,17-1522,NYKU5277234,9/14/2017
8070004992,U17162,U4221,17-1399,CXDU1654305,9/25/2017
8070003947,U16409-6,U4120,17-1326,TCNU7410321,8/28/2017
8070004531,U16506-1,U4019,17-1286,BMOU4286620,8/26/2017
8070003947,U16409-5,U4120,17-1326,TCNU8579321,8/28/2017
8070004532,U16505-1,U4112,17-1446,BMOU5830131,8/30/2017
8070004535,U16510-1,U4118,17-1323,TCNU8258928,8/30/2017
8070004989,U17159,U4145,17-1490,SEGU5428618,9/25/2017
8070004988,U17158,U4133,17-1319,TCLU6241019,9/18/2017
8070004536,U16517-6,U4130,17-1379,TCLU6367054,9/14/2017
8070004986,U17156,U4164,17-1397,YMLU8210748,9/25/2017
8070004531,U16506-2,U4128,17-1325,TCNU6006819,8/30/2017
8070003946,U16408-1,U4080,17-0983,ECMU9743370,8/22/2017
8070005150,U16410-3,U4178,17-1458,FSCU9248390,9/12/2017
8070004537,U16512-1,U4218,17-1525,FSCU9755408,9/18/2017
8070005150,U16410-5,U4180,17-1458,HLXU6439100,9/12/2017
8070005150,U16410-2,U4177,17-1458,HLXU6576741,9/12/2017
8070004498,U16507-5,U4005,17-1213,MIEU0001280,8/19/2017
8070003948,U16410-6,U4223,17-1524,NYKU0790244,9/18/2017
8070003948,U16410-8,U4225,17-1524,NYKU5238829,9/18/2017
8070003946,U16408-7,U4022,17-1287,SEGU6080682,8/26/2017
8070003946,U16408-4,U4016,17-1285,SLSU6327959,8/26/2017
8070004532,U16505-3,U4190,17-1526,TCLU4619033,9/19/2017
8070004537,U16512-2,U4219,17-1525,TCNU9414861,9/18/2017
8070003948,U16410-7,U4224,17-1524,TEMU8731481,9/18/2017
8070004987,U17170,U4368,17-1645,TEMU8910635,10/16/2017
8070003949,U16411-4,U4375,17-1669,APHU7324482,10/21/2017
8070004981,U17174,,17-1822,BMOU6335180,11/14/2017
8070004533,U16508-3,U4400,17-1781,CAXU8089791,10/30/2017
8070003949,U16411-3,U4374,17-1669,CLHU8641609,10/21/2017
8070004539,U16514-3,U4378,17-1669,CMAU5141860,10/21/2017
8070003949,U16411-5,U4382,17-1780,CXDU1669310,10/23/2017
8070003949,U16411-2,U4373,17-1669,ECMU9711666,10/21/2017
8070005153,U15330-1,U4287,17-1673,FSCU6990907,10/20/2017
8070004539,U16514-2,U4377,17-1669,GESU6455594,10/21/2017
8070004533,U16508-1,U4307,17-1735,GLDU7193962,10/20/2017
8070003949,U16411-6,U4383,17-1780,GLDU9995503,10/23/2017
8070004538,U16509-1,,17-1863,INKU6743807,11/10/2017
8070003455,U17206,U4370,17-1806,KKFU9152893,10/30/2017
8070004033,U16413-1,,17-1834,MRKU4645721,11/11/2017
8070004533,U16508-5,,17-1834,MRSU3301961,11/11/2017
8070004533,U16508-4,,17-1834,MSKU0262201,11/11/2017
8070004032,U16412-4,,17-1833,MSKU9562703,11/11/2017
8070004533,U16508-2,U4401,17-1781,NYKU4209106,10/30/2017
8070004032,U16412-3,,17-1833,PONU7633238,11/11/2017
8070004032,U16412-5,,17-1833,PONU8011347,11/11/2017
8070005152,U16263-2,U4286,17-1673,SEGU4018286,10/20/2017
8070004975,U17145,U4313,17-1815,SEGU4552584,11/6/2017
8070004538,U16509-3,,17-1944,TCNU 4727312,12/3/2017
8070004032,U16412-1,U4384,17-1780,TCNU4917776,10/23/2017
8070004998,U17168,U4408,17-1717,TCNU5980217,10/23/2017
8070004032,U16412-2,U4385,17-1780,TCNU5981023,10/23/2017
8070004538,U16509-2,,17-1943,TCNU6566496,11/18/2017
8070003949,U16411-1,U4372,17-1669,TCNU7420551 ,10/21/2017
8070004977,U17172,U4369,17-1717,TEMU7441678,10/23/2017
8070004991,U17139,U4534,17-1504,TEMU8810507,10/23/2017
8070004539,U16514-1,U4376,17-1669,TRLU6996056,10/21/2017
8070004978,U17148,U4346,17-1901,YMLU8426399,11/6/2017
8070004538,U16509-4,,17-2069,,12/3/2017
